Departamentos,Codigo DANE - Depto,Municipio,Codigo DANE - Mpio,Agroforestal (Ha),ConservaciOn de Suelos  (Ha),Ganadera (Ha),Vocacion (0 No hay - 1 hay algo),Predios <10 cab,Predios 11 - 25 cab,Predios 26-50 cab,Predios 51-100 cab,Predios 101-250 cab,Predios 251-500 cab,Predios 501-1000 cab,Predios >1000 cab,Total predios,% predios 11-50 cab,Terneras < 12 Meses,Terneros < 12 Meses,Hembras 12 - 24 Meses,Machos 12 - 24 Meses,Hembras 24 - 36 Meses,Machos 24 - 36 Meses,Hembras > 36 Meses,Machos > 36 Meses,# Machos,% Machos,# Hembras,% Hembras,Total Bovinos - 2017,Total Area sembrada de cultivos agroindustriales (ha),Total Area sembrada de cultivos de plAtano y tubErculos,Total Area sembrada de frutas,Total Area sembrada de cultivos de cereales,"Total Area sembrada en flores, hortalizas, verduras y legumbres, plantas aromaticas y medcinales",Area total sembrada del sector agricola,# Cabezas/ Ha sembrada,Sub-regiOn estratEgica (0-1),Emisiones Sector AgrIcola (Miles de ton CO2 eq),Emisiones Sector Forestal (Miles de ton CO2 eq),Sector Pecuario (Miles de ton CO2 eq),Emisiones Sub-sector Ganadero (Miles de ton CO2 eq),Diferencia Sector pecuario - S-Sec GanaderIa (Miles de ton CO2 eq),Sub-Sec. Gan. / Agri. + Forst.x + Dif S Pec-S Gan (%),Total Emisiones Brutas (Miles de toneladas de CO2 equivalente),Total  Absorciones (Miles toneladas de CO2 equivalente),Balance Municipal (miles Ton/aNo),Absorciones / Emisiones
BOYACA,15,BUSBANZA,15114,0,0,0,0,53,12,2,0,0,0,0,0,67,0.21,63,56,174,52,13,21,176,0,129,0.23,426,0.77,555,0,4,0,4,1,9,63.5,0,0.3,1.2,1,0.3,0.6,0.16,4.46,-0.54,3.92,0.12
BOYACA,15,CALDAS,15131,207,0,0,0,643,209,21,6,1,0,0,0,880,0.26,803,296,1281,300,435,121,4615,2,719,0.09,7134,0.91,7853,3,501,235,571,719,2029,3.9,0,6.8,6.6,4.8,6.1,-1.4,0.51,24.79,-5.05,19.74,0.2
BOYACA,15,CAMPO HERMOSO,15135,0,0,0,0,187,183,77,22,2,1,0,0,472,0.55,830,703,874,1130,1221,1327,2555,517,3677,0.4,5480,0.6,9157,267,311,43,30,771,1423,6.4,0,2.2,10.4,11,5.6,5.2,0.32,30.28,-1.61,28.67,0.05
BOYACA,15,CERINZA,15162,0,1391,0,0,356,133,22,3,1,0,0,0,515,0.3,431,329,471,217,354,114,2367,37,697,0.16,3623,0.84,4320,0,59,106,27,50,242,17.9,0,0.9,4.3,4,3.2,1.2,0.5,17.21,-0.84,16.37,0.05
BOYACA,15,CHINAVITA,15172,914,1003,0,1,256,50,9,0,0,0,0,0,315,0.19,271,157,208,330,312,545,739,236,1268,0.45,1530,0.55,2798,742,117,129,28,295,1312,2.1,0,2.5,4.3,2,1.7,0.3,0.24,17.78,-2.13,15.66,0.12
BOYACA,15,CHIQUINQUIRA,15176,754,0,0,1,1054,477,142,48,20,1,2,0,1744,0.35,1543,384,4189,977,2719,747,13381,243,2351,0.1,21832,0.9,24183,0,623,978,77,179,1857,13,1,3.7,17.2,25,19.3,5.6,0.73,176.65,-2.63,174.02,0.01
BOYACA,15,CHIQUIZA,15232,329,4145,0,0,305,43,2,1,0,0,0,0,351,0.13,138,235,292,167,229,153,906,11,566,0.27,1565,0.73,2131,0,3387,1262,247,1933,6829,0.3,0,21.2,10.6,3,1.4,1.9,0.04,45.51,-7.84,37.68,0.17
BOYACA,15,CHISCAS,15180,1,49829,0,0,422,214,44,5,0,0,0,0,685,0.38,883,966,787,794,526,1054,2765,825,3639,0.42,4961,0.58,8600,227,240,1020,175,205,1868,4.6,0,0.9,28.8,7,5.3,2.1,0.17,45.13,-0.97,44.16,0.02
BOYACA,15,CHITA,15183,272,36412,412,0,446,154,37,3,0,0,0,0,640,0.3,594,637,747,712,593,882,1590,565,2796,0.44,3524,0.56,6320,453,767,1021,1042,604,3887,1.6,0,7.1,23,5,3.7,1.4,0.12,55.77,-3,52.77,0.05
BOYACA,15,CHITARAQUE,15185,871,9,858,1,229,62,26,5,2,0,0,0,324,0.27,201,374,591,579,445,359,1015,71,1383,0.38,2252,0.62,3635,4615,14,43,8,20,4699,0.8,0,0.5,13.5,4,2.2,2,0.14,31.06,-0.7,30.36,0.02
BOYACA,15,CHIVATA,15187,0,484,0,0,321,28,5,1,0,0,0,0,355,0.09,298,244,365,195,16,37,855,7,483,0.24,1534,0.76,2017,1,356,48,361,220,985,2,0,3.3,6.4,3,1.3,1.9,0.11,22.99,-2.28,20.71,0.1
BOYACA,15,CHIVOR,15236,1347,133,0,1,84,20,5,6,3,0,0,0,118,0.21,143,138,156,231,146,297,433,49,715,0.45,878,0.55,1593,401,46,85,26,394,951,1.7,0,0.2,8.8,2,1,1.1,0.1,15.64,-0.61,15.03,0.04
BOYACA,15,CIENEGA,15189,1319,512,0,1,348,116,5,2,0,0,0,0,471,0.26,648,727,349,396,191,213,1786,55,1391,0.32,2974,0.68,4365,22,628,303,22,178,1155,3.8,0,14.3,6.5,4,2.6,1.3,0.12,36.32,-5.48,30.84,0.15
BOYACA,15,COMBITA,15204,875,1404,0,1,636,159,24,10,3,0,0,0,832,0.22,771,776,1079,588,592,275,3315,28,1667,0.22,5757,0.78,7424,374,822,232,48,57,1533,4.8,0,11.9,23.6,8,5,3.2,0.13,73.67,-4.78,68.89,0.06
BOYACA,15,COPER,15212,745,0,0,1,190,113,37,18,2,0,0,0,360,0.42,384,470,644,770,409,823,1617,283,2346,0.43,3054,0.57,5400,1787,985,794,28,6,3599,1.5,1,2.8,6.8,6,3.4,2.6,0.28,22.84,-1.57,21.27,0.07
BOYACA,15,CORRALES,15215,0,0,0,0,61,40,8,1,0,0,0,0,110,0.44,180,167,164,99,40,27,430,47,340,0.29,814,0.71,1154,0,0,40,27,35,101,11.4,0,6.3,1.4,1,0.7,0.5,0.08,88.84,-4.24,84.6,0.05
BOYACA,15,COVARACHIA,15218,797,5586,0,0,182,41,7,0,0,0,0,0,230,0.21,180,144,138,135,177,105,421,160,544,0.37,916,0.63,1460,1251,102,452,902,118,2824,0.5,0,3.6,4.5,2,0.9,1.4,0.09,14.84,-1.73,13.11,0.12
BOYACA,15,CUBARA,15223,0,7687,77,0,85,99,80,37,9,0,0,0,310,0.58,978,1096,1029,1179,1007,1283,2871,358,3916,0.4,5885,0.6,9801,133,112,88,25,9,367,26.7,0,0.7,321.9,10,5.8,4.6,0.02,347.5,-0.98,346.52,0
BOYACA,15,CUCAITA,15224,0,1508,0,0,69,9,2,1,0,0,0,0,81,0.14,76,44,94,151,114,109,285,20,324,0.36,569,0.64,893,422,735,67,255,2630,4108,0.2,0,19,5.1,1,0.6,0.6,0.02,38.62,-6.99,31.63,0.18
BOYACA,15,CUITIVA,15226,0,623,162,1,145,59,15,2,0,0,0,0,221,0.33,208,227,324,253,140,159,733,6,645,0.31,1405,0.69,2050,0,352,0,12,825,1190,1.7,0,7.7,3.4,2,1.3,0.5,0.11,16.65,-3.13,13.52,0.19
BOYACA,15,DUITAMA,15238,2120,9969,0,1,583,151,75,30,11,0,0,0,850,0.27,1228,770,1627,851,1099,500,4680,144,2265,0.21,8634,0.79,10899,30,219,476,226,2274,3225,3.4,0,2.3,19.6,13,7.4,5.3,0.27,472.15,-10.17,461.98,0.02
BOYACA,15,EL COCUY,15244,487,16319,0,1,293,220,44,7,1,0,0,0,565,0.47,802,744,676,823,585,1178,1973,520,3265,0.45,4036,0.55,7301,0,1196,330,1116,1279,3921,1.9,0,5,4.9,6,4.3,2,0.36,28.89,-2.49,26.41,0.09
BOYACA,15,EL ESPINO,15248,52,2044,0,0,159,91,33,5,3,0,0,0,291,0.43,460,454,444,451,296,406,1369,420,1731,0.4,2569,0.6,4300,5,14,8,29,20,75,57.5,0,1.8,5.2,5,2.7,2,0.29,20.17,-1.18,18.99,0.06
BOYACA,15,FIRAVITOBA,15272,0,554,0,0,483,148,34,19,5,1,0,0,690,0.26,753,520,1006,516,476,316,4363,148,1500,0.19,6598,0.81,8098,88,256,36,139,296,815,9.9,0,7.1,7,9,6.1,2.7,0.36,41.14,-4.24,36.9,0.1
BOYACA,15,FLORESTA,15276,0,607,0,0,254,76,17,6,2,0,0,0,355,0.26,436,392,603,293,325,70,1685,26,781,0.2,3049,0.8,3830,0,21,52,33,118,223,17.1,0,0.7,5.2,5,2.5,2.1,0.31,20.59,-1.97,18.61,0.1
BOYACA,15,GACHANTIVA,15293,3220,1412,0,1,238,80,14,5,0,0,0,0,337,0.28,305,397,496,453,570,438,1087,124,1412,0.36,2458,0.64,3870,169,101,739,35,12,1057,3.7,0,0.9,8.4,4,2.3,1.3,0.22,22.22,-0.84,21.38,0.04
BOYACA,15,GAMEZA,15296,33,7720,53,1,236,152,20,2,0,0,0,0,410,0.42,546,788,386,429,109,167,2101,23,1407,0.31,3142,0.69,4549,0,549,79,707,589,1924,2.4,0,8.2,6.3,2.7,2.9,-0.1,0.2,30.88,-11.67,19.21,0.38
BOYACA,15,GARAGOA,15299,1113,929,0,1,697,170,31,4,0,0,0,0,902,0.22,911,1002,1031,1097,1019,1394,2962,561,4054,0.41,5923,0.59,9977,982,119,148,449,317,2015,5,0,4.3,6.9,8,6.1,2.2,0.46,56.01,-8.71,47.3,0.16
BOYACA,15,GUACAMAYAS,15317,1149,1144,0,1,154,52,10,3,1,0,0,0,220,0.28,307,308,248,273,196,271,875,142,994,0.38,1626,0.62,2620,78,8,53,64,44,247,10.6,0,0.3,2.3,3,1.6,1.4,0.39,9.19,-0.87,8.32,0.09
BOYACA,15,GUATEQUE,15322,24,211,0,0,262,25,4,0,0,0,0,0,291,0.1,146,187,223,168,228,204,343,82,641,0.41,940,0.59,1581,235,15,14,71,165,500,3.2,0,12.4,5,4,0.9,2.9,0.04,48.19,-4.8,43.39,0.1
BOYACA,15,GUAYATA,15325,635,378,0,0,470,57,4,6,0,0,0,0,537,0.11,286,230,233,203,283,695,1068,345,1473,0.44,1870,0.56,3343,221,9,20,160,78,488,6.9,1,3.4,7.9,3,2.2,0.9,0.18,25.95,-1.66,24.29,0.06
BOYACA,15,GÜICAN,15332,0.2,68136,0,0,220,122,26,3,0,0,0,0,371,0.4,632,653,635,637,467,598,1590,88,1976,0.37,3324,0.63,5300,0,208,112,180,30,530,10,0,1.7,10.3,4,3.1,1.4,0.23,27.65,-1.13,26.53,0.04
BOYACA,15,IZA,15362,0,1530,0,0,83,54,9,7,2,0,0,0,155,0.41,275,101,272,53,214,38,1526,31,223,0.09,2287,0.91,2510,0,9,30,1,3,43,57.9,0,0.9,2.3,3,2,0.7,0.5,13.09,-1.23,11.86,0.09
BOYACA,15,JENESANO,15367,23,0,0,0,437,54,9,4,0,0,0,0,504,0.13,506,411,469,340,313,228,1386,82,1061,0.28,2674,0.72,3735,54,753,1497,142,112,2558,1.5,0,5.2,10.3,3,2.3,0.9,0.14,31.75,-2.54,29.21,0.08
BOYACA,15,JERICO,15368,591,7641,0,1,230,47,3,0,0,0,0,0,280,0.18,233,303,442,509,667,329,130,31,1172,0.44,1472,0.56,2644,351,211,382,250,732,1927,1.4,0,6,6.5,17,1.3,15.6,0.04,38.38,-3,35.38,0.08
BOYACA,15,LABRANZAGRANDE,15377,0,4958,395,1,17,76,68,36,16,2,0,0,215,0.67,619,450,705,677,1212,2411,2829,987,4525,0.46,5365,0.54,9890,2153,752,102,143,55,3205,3.1,0,0.3,14.1,10,6.5,3.9,0.36,32.99,-0.84,32.15,0.03
BOYACA,15,LA CAPILLA,15380,0,475,0,0,171,75,7,2,0,0,0,0,255,0.32,150,231,246,311,322,432,488,166,1140,0.49,1206,0.51,2346,7,0,16,22,104,149,15.8,0,4.2,3.1,3,1.4,1.2,0.16,16.66,-1.94,14.72,0.12
BOYACA,15,LA UVITA,15403,1791,8191,0,1,216,109,34,1,0,0,0,0,360,0.4,354,380,456,383,481,603,1179,380,1746,0.41,2470,0.59,4216,81,226,164,119,139,730,5.8,0,1.1,3.1,5,2.6,2.3,0.4,17.25,-2.17,15.08,0.13
BOYACA,15,LA VICTORIA,15401,0,0,0,0,54,43,23,7,0,0,0,0,127,0.52,20,126,185,570,169,741,339,39,1476,0.67,713,0.33,2189,342,358,85,27,22,835,2.6,0,0.1,1.5,0.2,1.3,-1.1,2.6,4.85,-0.44,4.4,0.09
BOYACA,15,MACANAL,15425,0,816,0,0,368,119,29,8,1,0,0,0,525,0.28,481,532,597,644,549,673,1503,273,2122,0.4,3130,0.6,5252,290,331,428,157,633,1839,2.9,0,5.7,12.3,5,3.2,1.9,0.16,31.69,-2.77,28.91,0.09
BOYACA,15,MARIPI,15442,645,0,0,0,177,74,21,15,2,1,0,0,290,0.33,337,236,470,343,300,635,1520,145,1359,0.34,2627,0.66,3986,1517,925,1547,9,150,4148,1,0,2.8,12,4,2.7,1.1,0.17,45.75,-1.5,44.24,0.03
BOYACA,15,MIRAFLORES,15455,1655,1349,0,1,571,239,59,14,4,0,0,0,887,0.34,902,1125,881,966,1605,1597,3552,1171,4859,0.41,6940,0.59,11799,1876,160,778,16,60,2889,4.1,0,3.3,7.8,12,7.4,4.8,0.47,44.73,-2.06,42.67,0.05
BOYACA,15,MONGUA,15464,214,14641,0,1,263,167,38,12,0,0,0,0,480,0.43,638,740,309,392,420,553,3192,146,1831,0.29,4559,0.71,6390,60,198,39,11,165,473,13.5,0,3,5.8,3.2,4.5,-1.2,0.59,34.21,-3.25,30.95,0.1
BOYACA,15,MONGUI,15466,976,4253,0,1,164,54,6,1,0,0,0,0,225,0.27,244,278,224,164,349,83,484,4,529,0.29,1301,0.71,1830,0,165,267,92,678,1202,1.5,0,2.4,4,2,1,0.9,0.14,23.35,-1.97,21.39,0.08
BOYACA,15,MONIQUIRA,15469,5406,0,0,1,387,165,80,35,8,0,0,0,675,0.36,903,1053,1906,1917,993,768,3515,402,4140,0.36,7317,0.64,11457,7052,289,595,1216,30,9182,1.2,0,15.4,25.2,14,7.2,7.1,0.15,104.92,-6.18,98.74,0.06
BOYACA,15,MOTAVITA,15476,934,1426,0,1,481,95,12,2,1,0,0,0,591,0.18,629,617,469,362,197,186,1979,28,1193,0.27,3274,0.73,4467,0,1552,420,476,597,3045,1.5,0,8.4,12.4,4,2.8,1.3,0.13,37.52,-3.45,34.07,0.09
BOYACA,15,MUZO,15480,2,0,90,0,68,57,50,12,11,3,0,0,201,0.53,439,402,983,1186,447,109,1879,224,1921,0.34,3748,0.66,5669,185,7,3,0,2,196,29,0,2.9,7.2,8,3.7,4.6,0.25,36.53,-1.67,34.86,0.05
BOYACA,15,NOBSA,15491,0,213,556,1,102,19,3,3,1,0,0,0,128,0.17,119,79,274,102,61,14,625,0,195,0.15,1079,0.85,1274,28,128,476,470,1300,2402,0.5,0,3.8,17.8,2,0.9,1.3,0.04,750.58,-50.57,700.01,0.07
BOYACA,15,NUEVO COLON,15494,0,0,0,0,217,33,9,3,0,0,0,0,262,0.16,174,177,309,192,178,212,605,20,601,0.32,1266,0.68,1867,0,564,2198,73,102,2938,0.6,0,2.6,9.4,2,1.2,0.6,0.09,25.03,-1.5,23.53,0.06
BOYACA,15,OICATA,15500,0,891,0,0,250,45,18,6,1,2,0,0,322,0.2,477,134,738,469,280,105,1945,61,769,0.18,3440,0.82,4209,122,350,240,169,726,1606,2.6,0,13.4,4.7,5,3,1.7,0.15,31.69,-9.45,22.24,0.3
BOYACA,15,OTANCHE,15507,0,0,0,0,173,200,112,45,8,1,0,0,539,0.58,592,768,1339,1431,1426,2679,3067,856,5734,0.47,6424,0.53,12158,4800,3011,815,388,1547,10562,1.2,0,4.4,13.1,13,7.7,5.2,0.34,48.64,-2.33,46.3,0.05
BOYACA,15,PACHAVITA,15511,0,103,0,0,339,50,5,1,0,0,0,0,395,0.14,140,232,389,350,380,373,998,233,1188,0.38,1907,0.62,3095,689,39,131,52,109,1020,3,0,3.1,4.1,3,2.1,1,0.25,19.93,-1.57,18.36,0.08
BOYACA,15,PAEZ,15514,70,21,0,0,165,225,109,33,6,1,0,0,539,0.62,1198,1193,1221,1479,1918,1796,3711,840,5308,0.4,8048,0.6,13356,2729,1797,571,90,231,5419,2.5,0,2.4,3.7,14,8.2,5.8,0.69,26.48,-1.66,24.82,0.06
BOYACA,15,PAIPA,15516,1875,4466,0,1,1257,354,66,29,12,2,0,0,1720,0.24,2043,1781,2466,1531,1625,688,7733,233,4233,0.23,13867,0.77,18100,102,262,268,64,338,1034,17.5,0,11.2,21.5,22,12,9.6,0.28,229.08,-17.55,211.53,0.08
BOYACA,15,PAJARITO,15518,0,1512,0,0,17,61,50,39,9,0,0,0,176,0.63,404,372,528,685,728,1620,1407,817,3494,0.53,3067,0.47,6561,122,142,143,76,358,841,7.8,0,0.3,5.4,9,4.1,4.9,0.38,19.34,-0.8,18.54,0.04
BOYACA,15,PANQUEBA,15522,0,582,0,0,147,92,19,2,0,0,0,0,260,0.43,355,341,425,487,353,370,674,160,1358,0.43,1807,0.57,3165,8,11,5,148,205,377,8.4,0,3.8,1.7,4,1.8,2.2,0.23,13.05,-1.85,11.19,0.14
BOYACA,15,PAUNA,15531,1811,17,1,1,278,108,60,13,6,0,0,0,465,0.36,585,483,819,544,116,983,2335,341,2351,0.38,3855,0.62,6206,1151,268,1621,160,84,3284,1.9,0,12.9,14.6,8,4.1,3.7,0.13,52.85,-5.4,47.45,0.1
BOYACA,15,PAYA,15533,11,0,353,0,48,41,21,7,3,0,0,0,120,0.52,274,234,302,375,433,594,1104,234,1437,0.4,2113,0.6,3550,3159,982,376,271,212,5000,0.7,0,0.8,5.2,3,2.3,0.3,0.37,12.45,-0.75,11.7,0.06
BOYACA,15,PAZ DE RIO,15537,55,5095,0,0,182,48,0,0,0,0,0,0,230,0.21,169,186,241,276,181,129,531,67,658,0.37,1122,0.63,1780,5,9,4,30,22,70,25.5,0,0.2,3.4,2,1.1,1.1,0.23,17.8,-0.54,17.26,0.03
BOYACA,15,PESCA,15542,3214,10438,0,1,469,300,65,3,2,1,0,0,840,0.43,737,904,1268,777,503,549,4825,137,2367,0.24,7333,0.76,9700,236,185,959,173,370,1923,5,0,5.6,12.8,6,7,-1,0.4,39.85,-7.67,32.18,0.19
BOYACA,15,PISBA,15550,703,1265,0,1,54,56,19,5,1,0,0,0,135,0.56,209,250,279,188,449,286,727,222,946,0.36,1664,0.64,2610,554,262,13,96,14,940,2.8,0,0.6,1.8,3,1.6,1.3,0.43,7.71,-0.7,7,0.09
BOYACA,15,PUERTO BOYACA,15572,3704,0,10972,1,60,97,124,151,184,117,45,12,790,0.28,8516,10009,16178,24112,12552,35369,30213,2542,72032,0.52,67459,0.48,139491,398,1474,1424,800,1491,5587,25,1,9,42.7,151,83.5,67,0.7,2037.02,-45.98,1991.03,0.02
BOYACA,15,QUIPAMA,15580,99,0,0,0,101,91,40,13,6,0,0,0,251,0.52,187,224,590,1086,676,1118,1446,185,2613,0.47,2899,0.53,5512,3063,1252,367,244,91,5017,1.1,1,1.9,11.8,6,3.6,2.6,0.22,55.69,-1.25,54.43,0.02
BOYACA,15,RAMIRIQUI,15599,2793,797,0,1,428,106,27,5,1,0,0,0,567,0.23,600,737,694,562,507,435,2187,271,2005,0.33,3988,0.67,5993,96,385,403,107,103,1093,5.5,0,2.8,9.7,6,3.8,1.9,0.26,41.33,-2.37,38.96,0.06
BOYACA,15,RAQUIRA,15600,82,9261,293,0,247,53,12,6,2,1,0,0,321,0.2,501,253,645,289,360,167,1553,80,789,0.21,3059,0.79,3848,906,962,120,651,346,2986,1.3,1,1.6,20.3,4,2.5,1.2,0.11,83.98,-8.62,75.35,0.1
BOYACA,15,RONDON,15621,1819,316,0,1,73,82,30,6,1,0,0,0,192,0.58,246,471,297,335,399,575,746,51,1432,0.46,1688,0.54,3120,235,24,525,0,12,797,3.9,0,1.5,4.2,3,1.7,0.9,0.26,16.8,-1,15.8,0.06
BOYACA,15,SABOYA,15632,1156,89,0,0,1564,474,84,30,6,0,0,0,2158,0.26,1819,1123,2816,1464,1844,841,10907,186,3614,0.17,17386,0.83,21000,0,2153,9832,2001,1213,15199,1.4,0,34.4,22.7,17,15.7,1.7,0.27,96.97,-13.61,83.35,0.14
BOYACA,15,SACHICA,15638,0,4660,0,0,74,1,0,0,0,0,0,0,75,0.01,31,73,80,116,34,42,25,7,238,0.58,170,0.42,408,0,11,24,9,243,287,1.4,0,24.6,3.6,1,0.2,0.4,0.01,37.37,-8.93,28.44,0.24
BOYACA,15,SAMACA,15646,1163,7194,0,1,435,82,19,17,5,0,0,0,558,0.18,409,376,297,300,517,625,2210,631,1932,0.36,3433,0.64,5365,219,1334,32,259,452,2295,2.3,1,124.9,25,6,3.8,2.3,0.02,245.18,-72.39,172.78,0.3
BOYACA,15,SAN EDUARDO,15660,1359,198,0,1,177,93,27,5,0,0,0,0,302,0.4,293,407,413,375,446,624,1120,351,1757,0.44,2272,0.56,4029,510,184,241,33,472,1440,2.8,0,1.4,1.9,4,2.5,1.8,0.49,12.4,-1.01,11.39,0.08
BOYACA,15,SAN JOSE DE PARE,15664,0,0,0,0,104,31,10,2,0,0,0,0,147,0.28,51,172,214,246,242,127,369,34,579,0.4,876,0.6,1455,5797,13,142,287,4,6244,0.2,0,3,10.1,2,0.9,1.4,0.06,25.88,-1.51,24.37,0.06
BOYACA,15,SAN LUIS DE GACENO,15667,22068,19,308,1,96,194,194,125,58,2,0,0,669,0.58,1314,3671,3471,7393,9637,2806,4968,1063,14933,0.44,19390,0.56,34323,446,1612,254,419,213,2944,11.7,1,5.3,7.8,35,19.1,16.1,0.66,60.06,-3.34,56.72,0.06
BOYACA,15,SAN MATEO,15673,1374,2369,0,1,339,53,5,2,1,0,0,0,400,0.15,495,364,614,656,775,429,682,85,1534,0.37,2566,0.63,4100,137,4,160,191,22,513,8,0,1.8,4.5,3,2.2,1.3,0.28,22.88,-1.15,21.73,0.05
BOYACA,15,SAN MIGUEL DE SEMA,15676,0,0,2748,1,431,194,63,51,24,5,2,0,770,0.33,2062,244,2755,581,1886,367,10265,20,1212,0.07,16968,0.93,18180,0,103,430,324,483,1341,13.6,1,6.3,8.3,11.5,14.1,-2.6,1.18,34.63,-3.74,30.88,0.11
BOYACA,15,SAN PABLO DE BORBUR,15681,0,0,90,0,159,106,45,22,5,0,0,0,337,0.45,512,542,804,736,820,825,1555,158,2261,0.38,3691,0.62,5952,3970,1620,1128,371,297,7385,0.8,0,4.1,16.8,7,3.6,3.2,0.15,65.41,-2.03,63.38,0.03
BOYACA,15,SANTA-MARIA,15690,2928,0,0,1,125,167,68,20,5,2,0,0,387,0.61,892,957,930,929,1479,1496,2972,788,4170,0.4,6273,0.6,10443,2735,2456,741,458,22,6411,1.6,0,0.9,8,7,6.4,0.9,0.66,262.62,-0.96,261.67,0
BOYACA,15,SANTANA,15686,0,0,0,0,111,27,7,4,1,0,0,0,150,0.23,135,198,182,309,92,163,544,55,725,0.43,953,0.57,1678,5470,24,24,0,8,5526,0.3,0,,69.8,2,1,1.3,0.01,87.4,-0.48,86.92,0.01
BOYACA,15,SANTA ROSA DE VITERBO,15693,0,4265,935,1,520,166,40,16,3,0,0,0,745,0.28,761,498,1171,487,575,187,4151,50,1222,0.16,6658,0.84,7880,0,141,55,38,199,434,18.2,0,3.5,11.6,9,5.8,3.5,0.31,53.64,-3.34,50.3,0.06
BOYACA,15,SANTA SOFIA,15696,160,740,0,0,141,40,13,3,0,0,0,0,197,0.27,166,230,295,302,390,401,837,243,1176,0.41,1688,0.59,2864,92,109,319,28,111,659,4.3,0,6.3,6.7,3,1.8,1.5,0.13,28.9,-2.76,26.14,0.1
BOYACA,15,SATIVANORTE,15720,1268,7825,184,0,241,49,4,0,0,1,0,0,295,0.18,285,405,221,236,186,225,903,49,915,0.36,1595,0.64,2510,72,97,10,227,26,432,5.8,0,1.8,3.5,3,1.5,1.5,0.22,16.56,-1.11,15.45,0.07
BOYACA,15,SATIVASUR,15723,0,3964,59,0,123,28,1,0,0,0,0,0,152,0.19,47,280,209,170,32,93,477,13,556,0.42,765,0.58,1321,0,22,12,27,6,67,19.7,0,0,1.6,2,0.8,0.9,0.31,8.08,-0.7,7.37,0.09
BOYACA,15,SIACHOQUE,15740,1179,5743,0,1,757,118,18,3,0,0,0,0,896,0.15,596,912,860,561,379,281,2755,11,1765,0.28,4590,0.72,6355,30,3817,110,1635,919,6512,1,0,43.4,13.4,5,4.1,1,0.07,78.79,-15.55,63.24,0.2
BOYACA,15,SOATA,15753,0,2666,0,0,376,65,5,4,0,0,0,0,450,0.16,438,329,381,380,263,206,913,209,1124,0.36,1995,0.64,3119,115,33,156,38,81,423,7.4,0,1.4,4.5,4,1.8,1.8,0.24,25.57,-1.01,24.55,0.04
BOYACA,15,SOCHA,15757,1307,8452,0,1,234,81,19,0,1,0,0,0,335,0.3,274,395,357,361,242,246,1348,47,1049,0.32,2221,0.68,3270,1385,71,71,270,410,2207,1.5,0,1.5,7,3,2.2,0.7,0.23,46.81,-28.12,18.7,0.6
BOYACA,15,SOCOTA,15755,2338,32281,131,1,556,159,22,3,0,0,0,0,740,0.24,608,780,675,1128,205,599,2183,337,2844,0.44,3671,0.56,6515,1266,249,812,374,1824,4526,1.4,0,5.1,14.4,5,4,0.5,0.2,52.63,-7.74,44.88,0.15
BOYACA,15,SOGAMOSO,15759,549,7998,301,1,853,143,24,17,2,1,0,0,1040,0.16,722,982,1309,1443,690,864,3458,587,3876,0.39,6179,0.61,10055,66,729,478,345,660,2277,4.4,0,11.9,29.2,8,6.5,1.4,0.15,885.08,-13.2,871.88,0.01
BOYACA,15,SOMONDOCO,15761,1011,711,0,1,196,48,8,2,2,0,0,0,256,0.22,187,285,293,212,192,332,748,102,931,0.4,1420,0.6,2351,400,78,3,205,20,707,3.3,0,0.7,6.3,4,1.4,2.1,0.16,22.08,-0.92,21.16,0.04
BOYACA,15,SORA,15762,733,2934,0,1,305,32,3,0,0,0,0,0,340,0.1,181,162,119,149,113,65,510,2,378,0.29,923,0.71,1301,27,234,252,169,2070,2753,0.5,0,4.4,4.6,1,0.8,0.4,0.09,15.21,-1.95,13.26,0.13
BOYACA,15,SORACA,15764,0,9,0,0,730,103,21,3,1,0,0,0,858,0.14,543,589,825,633,488,320,2340,77,1619,0.28,4196,0.72,5815,399,1991,178,1262,387,4217,1.4,0,26.1,8.6,5,3.8,1.1,0.11,51.94,-10.49,41.45,0.2
BOYACA,15,SOTAQUIRA,15763,1047,6324,157,1,583,203,76,40,21,1,1,0,925,0.3,1932,747,2234,677,1317,300,8172,121,1845,0.12,13655,0.88,15500,0,409,433,80,94,1015,15.3,0,8,14,19,11.3,8.1,0.38,61.15,-6.51,54.64,0.11
BOYACA,15,SUSACON,15774,0.4,6204,33,0,216,109,15,5,0,0,0,0,345,0.36,370,487,359,462,357,466,1323,246,1661,0.41,2409,0.59,4070,410,61,138,332,1526,2468,1.6,0,3.6,4.2,4,2.5,1.9,0.26,17.92,-1.78,16.14,0.1
BOYACA,15,SUTAMARCHAN,15776,0,2883,0,0,401,41,9,0,0,0,0,0,451,0.11,289,329,359,313,276,227,1108,100,969,0.32,2032,0.68,3001,519,33,763,7,63,1385,2.2,0,28.8,8.8,4,1.9,2.2,0.05,57.64,-11.01,46.64,0.19
BOYACA,15,SUTATENZA,15778,0,728,0,0,340,22,3,1,0,0,0,0,366,0.07,191,233,322,182,118,109,482,58,582,0.34,1113,0.66,1695,356,155,253,564,411,1740,1,0,5,6.2,4,1,2.7,0.07,24.28,-2.24,22.04,0.09
