Departamentos,Codigo DANE - Depto,Municipio,Codigo DANE - Mpio,Agroforestal (Ha),ConservaciOn de Suelos  (Ha),Ganadera (Ha),Vocacion (0 No hay - 1 hay algo),Predios <10 cab,Predios 11 - 25 cab,Predios 26-50 cab,Predios 51-100 cab,Predios 101-250 cab,Predios 251-500 cab,Predios 501-1000 cab,Predios >1000 cab,Total predios,% predios 11-50 cab,Terneras < 12 Meses,Terneros < 12 Meses,Hembras 12 - 24 Meses,Machos 12 - 24 Meses,Hembras 24 - 36 Meses,Machos 24 - 36 Meses,Hembras > 36 Meses,Machos > 36 Meses,# Machos,% Machos,# Hembras,% Hembras,Total Bovinos - 2017,Total Area sembrada de cultivos agroindustriales (ha),Total Area sembrada de cultivos de plAtano y tubErculos,Total Area sembrada de frutas,Total Area sembrada de cultivos de cereales,"Total Area sembrada en flores, hortalizas, verduras y legumbres, plantas aromaticas y medcinales",Area total sembrada del sector agricola,# Cabezas/ Ha sembrada,Sub-regiOn estratEgica (0-1),Emisiones Sector AgrIcola (Miles de ton CO2 eq),Emisiones Sector Forestal (Miles de ton CO2 eq),Sector Pecuario (Miles de ton CO2 eq),Emisiones Sub-sector Ganadero (Miles de ton CO2 eq),Diferencia Sector pecuario - S-Sec GanaderIa (Miles de ton CO2 eq),Sub-Sec. Gan. / Agri. + Forst.x + Dif S Pec-S Gan (%),Total Emisiones Brutas (Miles de toneladas de CO2 equivalente),Total  Absorciones (Miles toneladas de CO2 equivalente),Balance Municipal (miles Ton/aNo),Absorciones / Emisiones
TOLIMA,73,CAJAMARCA,73124,0,2806,0,0,268,96,71,48,44,8,0,0,535,0.31,1888,809,1912,2573,1765,1877,5225,450,5709,0.35,10790,0.65,16499,1186,4488,3026,198,6978,15876,1,0,85,32.7,19,10.5,8.5,0.08,172.66,-418.14,-245.48,2.42
TOLIMA,73,CARMEN DE APICALA,73148,0,11549,0,0,102,55,42,18,16,3,0,0,236,0.41,842,361,847,1045,806,736,2864,197,2339,0.3,5359,0.7,7698,108,420,563,303,67,1462,5.3,0,0.2,6,10,5.1,5.1,0.45,30.03,-4.25,25.79,0.14
TOLIMA,73,CASABIANCA,73152,679,5094,0,1,213,68,28,14,5,1,0,0,329,0.29,771,330,884,644,472,456,1176,78,1508,0.31,3303,0.69,4811,2849,2464,1781,455,792,8341,0.6,0,4,24.2,5,2.7,2.3,0.09,42.45,-22.47,19.98,0.53
TOLIMA,73,CHAPARRAL,73168,2961,32240,0,1,281,299,210,111,47,1,1,0,950,0.54,3219,1380,2577,2912,3060,4524,7905,1154,9970,0.37,16761,0.63,26731,11785,8099,3163,2874,3072,28993,0.9,0,32.8,82.9,34,16.6,16.9,0.13,258.85,-146.65,112.19,0.57
TOLIMA,73,COELLO,73200,0,1582,274,1,114,84,54,36,18,5,2,0,313,0.44,1919,823,1595,925,1422,779,4257,387,2914,0.24,9193,0.76,12107,650,560,1329,1527,11,4078,3,1,2.7,21.4,16,7.5,8.2,0.23,53.66,-14.77,38.89,0.28
TOLIMA,73,COYAIMA,73217,5896,0,862,1,76,100,42,52,13,1,1,0,285,0.5,1956,839,1457,845,1319,255,4254,315,2254,0.2,8986,0.8,11240,673,2873,1384,1753,224,6907,1.6,0,5.8,69.8,12,6.9,5.1,0.09,124.59,-36.67,87.92,0.29
TOLIMA,73,CUNDAY,73226,4223,13479,0,1,120,140,111,66,23,3,0,0,463,0.54,1861,797,1655,2041,1661,3525,4034,1194,7557,0.45,9211,0.55,16768,2599,1882,2956,238,793,8468,2,0,8.3,25.2,19,10.1,8.8,0.24,67.31,-41.08,26.22,0.61
TOLIMA,73,DOLORES,73236,5702,26937,0,1,206,180,75,29,12,1,1,1,505,0.5,1427,611,857,1118,1903,2332,4616,1007,5068,0.37,8803,0.63,13871,3694,667,2207,17,179,6764,2.1,1,1,58.5,12,9.1,3.2,0.15,83.11,-7.66,75.45,0.09
TOLIMA,73,ESPINAL,73268,0,36,0,0,163,67,37,32,5,0,0,0,304,0.34,911,390,660,242,462,301,1909,78,1011,0.2,3942,0.8,4953,2414,456,3930,26577,134,33510,0.1,0,103.5,50.5,8,3,4.5,0.02,468.63,-448.17,20.46,0.96
TOLIMA,73,FALAN,73270,4627,0,0,1,168,48,38,18,5,2,0,0,279,0.31,633,271,554,701,499,290,1927,110,1372,0.28,3613,0.72,4985,4227,3343,4128,799,396,12893,0.4,0,10.3,21.3,8,3.3,4.6,0.09,56.17,-47.98,8.19,0.85
TOLIMA,73,FLANDES,73275,0,0,0,0,74,34,16,13,7,1,1,0,146,0.34,546,234,572,638,348,502,1512,438,1812,0.38,2978,0.62,4790,681,136,282,1673,33,2805,1.7,0,11.8,11.2,7,3.1,3.5,0.12,74.37,-53.66,20.7,0.72
TOLIMA,73,FRESNO,73283,105,0,0,0,203,104,45,18,7,0,0,0,377,0.4,590,253,1151,1988,728,633,1095,122,2996,0.46,3564,0.54,6560,8261,6001,10620,1876,1164,27923,0.2,0,31.8,51.4,10,3.8,6.3,0.04,147.91,-157.37,-9.47,1.06
TOLIMA,73,GUAMO,73319,0,1575,0,0,303,179,106,82,52,22,1,0,745,0.38,3742,1604,4032,4725,3074,1965,8954,833,9127,0.32,19802,0.68,28929,2210,824,2931,17521,626,24110,1.2,0,97.4,45.2,37,17.9,19.4,0.11,235.05,-422.83,-187.78,1.8
TOLIMA,73,HERVEO,73347,1444,5139,0,1,114,81,54,46,15,0,0,0,310,0.44,1447,620,1245,1320,1042,1111,1956,185,3236,0.36,5690,0.64,8926,1633,2077,1223,441,1421,6795,1.3,0,15.6,69.4,11,4.9,6.2,0.05,111.26,-125.23,-13.96,1.13
TOLIMA,73,HONDA,73349,0,0,0,0,28,23,18,18,21,7,3,2,120,0.34,2059,883,2288,1401,1472,1240,5111,356,3880,0.26,10930,0.74,14810,304,468,667,721,457,2617,5.7,1,0.6,7.4,18,9.3,8.9,0.55,63.09,-5.88,57.21,0.09
TOLIMA,73,IBAGUE,73001,456,18455,4870,1,672,356,183,94,38,12,12,3,1370,0.39,5232,2243,4707,4049,3612,2773,13232,1052,10117,0.27,26783,0.73,36900,12152,5520,5237,11637,5976,40523,0.9,0,96.6,91.3,55,23.4,31.9,0.11,1666.67,-425.99,1240.68,0.26
TOLIMA,73,ICONONZO,73352,0,2870,0,0,231,132,63,25,6,1,0,0,458,0.43,1104,473,904,851,999,1296,1885,768,3388,0.41,4892,0.59,8280,2067,1730,5707,182,1920,11606,0.7,1,10.3,23.8,12,4.8,7.1,0.12,62.61,-47.51,15.1,0.76
TOLIMA,73,LERIDA,73408,4757,0,652,1,61,105,71,37,29,4,1,0,308,0.57,1843,790,1945,1531,1590,983,4340,358,3662,0.27,9718,0.73,13380,2552,656,2270,10167,1497,17142,0.8,0,39,9.6,18,8.3,9.2,0.14,118.56,-172.9,-54.34,1.46
TOLIMA,73,LIBANO,73411,0,0,0,0,225,98,46,19,6,1,0,0,395,0.36,586,251,634,601,747,917,2146,368,2137,0.34,4113,0.66,6250,10216,7208,1470,1430,1381,21706,0.3,0,44.5,48,8,4.2,4.2,0.04,170.06,-221.68,-51.62,1.3
TOLIMA,73,MELGAR,73449,0,9257,0,0,114,54,28,16,5,1,1,0,219,0.37,502,215,557,628,482,959,1712,549,2351,0.42,3253,0.58,5604,896,436,1806,124,280,3542,1.6,1,2.9,21.5,7,3.7,3.3,0.13,190.18,-15.71,174.47,0.08
TOLIMA,73,MURILLO,73461,1215,16725,0,1,82,164,138,64,11,0,0,0,459,0.66,2509,1076,1843,1597,1777,1250,4024,567,4490,0.31,10153,0.69,14643,245,1459,1537,1086,5543,9870,1.5,0,2.8,9.8,16,8.3,7.3,0.42,43.74,-15.48,28.26,0.35
TOLIMA,73,NATAGAIMA,73483,3627,18516,15,1,46,115,85,46,18,0,0,0,310,0.65,2110,904,1524,1254,2479,195,5308,383,2736,0.19,11421,0.81,14157,936,1032,321,4564,330,7184,2,1,11.9,60.3,23,9,14.4,0.1,125.64,-55.59,70.05,0.44
TOLIMA,73,ORTEGA,73504,2478,1387,2764,1,145,204,90,60,26,5,0,0,530,0.55,1573,674,1695,1552,2328,2689,5242,1801,6716,0.38,10838,0.62,17554,6432,1486,1479,3240,228,12865,1.4,0,23.6,68.2,23,11.5,11.1,0.11,173.44,-105.19,68.25,0.61
TOLIMA,73,PALOCABILDO,73520,0,0,0,0,193,36,8,0,0,0,0,0,237,0.19,157,68,338,165,54,43,322,19,295,0.25,871,0.75,1166,3276,3019,2675,302,416,9688,0.1,0,6.3,18.6,2,0.7,1,0.03,40.61,-30.39,10.22,0.75
TOLIMA,73,PIEDRAS,73547,3928,0,10900,1,29,64,42,43,39,16,5,0,238,0.45,2406,1031,2712,1768,1875,1951,7258,685,5435,0.28,14251,0.72,19686,170,770,1557,5961,117,8575,2.3,1,29.5,11,24,12.9,10.9,0.25,90.04,-134.24,-44.19,1.49
TOLIMA,73,PLANADAS,73555,0,30409,0,0,58,97,67,54,24,2,0,0,302,0.54,2008,860,1406,1562,1455,1197,3539,518,4137,0.33,8408,0.67,12545,13720,7974,690,263,1675,24322,0.5,1,96.5,151.7,17,7.3,9.3,0.03,310.83,-423.05,-112.21,1.36
TOLIMA,73,PRADO,73563,2300,11224,0,1,74,96,87,54,29,6,0,0,346,0.53,2137,916,2003,1927,2695,2156,4676,658,5657,0.33,11511,0.67,17168,1696,221,1144,1202,83,4346,4,0,19.9,17.8,23,10.4,12.9,0.21,77.77,-88.96,-11.19,1.14
TOLIMA,73,PURIFICACION,73585,1999,7533,0,1,152,154,75,65,15,2,2,0,465,0.49,2178,933,1547,2181,2422,1183,4295,580,4877,0.32,10442,0.68,15319,746,2472,1755,8134,551,13658,1.1,0,48.6,38.6,17,9.1,7.7,0.1,258.16,-212.74,45.41,0.82
TOLIMA,73,RIOBLANCO,73616,0.5,52843,0,0,90,82,54,27,3,1,0,0,257,0.53,1062,455,1038,1024,568,806,2048,238,2523,0.35,4716,0.65,7239,8407,6536,1540,628,2591,19703,0.4,0,17.4,90.3,10,4.3,6,0.04,153.52,-83.68,69.84,0.55
TOLIMA,73,RONCESVALLES,73622,8018,10787,0,1,94,172,102,39,31,3,2,1,444,0.62,2857,1224,1880,1368,2148,1926,5970,1354,5872,0.31,12855,0.69,18727,337,1247,1014,259,1194,4051,4.6,0,12.8,18.4,21,11.4,9.7,0.28,64.56,-59.91,4.65,0.93
TOLIMA,73,ROVIRA,73624,6,299,0,0,45,81,75,41,12,0,1,0,255,0.61,1110,476,1299,1104,1112,917,2878,336,2833,0.31,6399,0.69,9232,8204,3816,1427,422,1109,14977,0.6,0,7.2,36.6,11,5.8,5.2,0.12,84.59,-40.5,44.09,0.48
TOLIMA,73,SALDANA,73671,0,0,0,0,83,62,47,22,20,3,2,0,239,0.46,1624,696,1180,1061,896,287,3591,265,2309,0.24,7291,0.76,9600,27,162,772,10528,80,11568,0.8,0,29,16.7,12,5.9,6.2,0.11,94.35,-128.09,-33.74,1.36
TOLIMA,73,SAN-ANTONIO,73675,0,223,0,0,191,134,58,22,7,0,0,0,412,0.47,1203,515,1000,1266,876,981,1658,451,3213,0.4,4737,0.6,7950,5002,1168,917,614,2992,10693,0.7,0,20.9,36.2,8,4.4,3.8,0.07,87.4,-93.12,-5.73,1.07
TOLIMA,73,SAN-LUIS,73678,1409,8058,0,1,119,161,113,82,34,7,0,0,516,0.53,2775,1189,3119,2296,2652,1592,6003,644,5721,0.28,14549,0.72,20270,2854,1027,2093,5912,126,12013,1.7,0,15.8,42.5,12.1,12.3,-0.2,0.21,95.6,-71.24,24.35,0.75
TOLIMA,73,SAN SEBASTIAN DE MARIQUITA,73443,793,0,0,1,106,80,45,49,38,12,5,0,335,0.37,1816,778,2287,2487,2083,1330,5726,443,5038,0.3,11912,0.7,16950,4437,3203,7389,926,1490,17446,1,0,4.9,27,1.1,11,-9.9,0.5,132.17,-24.97,107.2,0.19
TOLIMA,73,SANTA ISABEL,73686,235,11447,0,1,138,135,71,17,4,0,0,0,365,0.56,1364,584,1237,806,1052,599,2522,318,2307,0.27,6175,0.73,8482,1282,1454,627,710,2979,7052,1.2,0,5.4,11.4,7,5,2.5,0.26,35.07,-27.51,7.56,0.78
TOLIMA,73,SUAREZ,73770,0,2680,0,0,90,68,38,19,17,4,3,1,240,0.44,1565,671,1446,923,1495,659,4155,686,2939,0.25,8661,0.75,11600,111,578,516,1145,118,2469,4.7,0,3.8,8.7,2.3,7.5,-5.2,1.02,21.56,-19.86,1.71,0.92
TOLIMA,73,VALLE DE SAN JUAN,73854,0,5262,0,0,21,53,35,36,20,3,0,0,168,0.52,1236,530,1541,1176,978,536,2483,216,2458,0.28,6238,0.72,8696,2621,1860,815,6963,84,12343,0.7,0,15.9,9.6,9,5.2,4.2,0.17,44.43,-71.52,-27.09,1.61
TOLIMA,73,VENADILLO,73861,1920,0,3144,1,136,98,45,44,24,5,4,0,356,0.4,1413,605,1540,1611,1202,1050,4010,503,3769,0.32,8165,0.68,11934,1809,3441,2830,6967,4139,19187,0.6,1,29.2,14.6,17,7.7,9.8,0.14,110.29,-131.48,-21.19,1.19
TOLIMA,73,VILLAHERMOSA,73870,104,3252,0,1,187,98,63,44,5,1,0,0,398,0.4,793,340,493,405,559,1083,1461,362,2190,0.4,3306,0.6,5496,4860,4328,1720,1037,1865,13810,0.4,0,16.9,26.6,10,3.2,6.5,0.06,70.39,-75.92,-5.53,1.08
TOLIMA,73,VILLARRICA,73873,22341,0,0,1,187,114,40,17,3,0,0,0,361,0.43,1191,510,1216,1340,1122,1110,2233,490,3450,0.37,5762,0.63,9212,809,1,145,445,300,1700,5.4,1,12.7,17.4,6,5.4,0.8,0.18,45.03,-69.55,-24.52,1.54
